competition;season;home_score;away_score;round;
Top 14;2005-2006;12;26;J1;
Top 14;2005-2006;16;28;J1;
Top 14;2005-2006;34;9;J1;
Top 14;2005-2006;10;20;J1;
Top 14;2005-2006;16;34;J1;
Top 14;2005-2006;15;10;J1;
Top 14;2005-2006;26;20;J1;
Top 14;2005-2006;29;8;J2;
Top 14;2005-2006;52;9;J2;
Top 14;2005-2006;29;23;J2;
Top 14;2005-2006;19;13;J2;
Top 14;2005-2006;37;9;J2;
Top 14;2005-2006;36;6;J2;
Top 14;2005-2006;31;3;J2;
Top 14;2005-2006;29;25;J3;
Top 14;2005-2006;34;28;J3;
Top 14;2005-2006;9;16;J3;
Top 14;2005-2006;19;19;J3;
Top 14;2005-2006;19;19;J3;
Top 14;2005-2006;18;29;J3;
Top 14;2005-2006;16;12;J3;
Top 14;2005-2006;16;12;J4;
Top 14;2005-2006;37;24;J4;
Top 14;2005-2006;43;5;J4;
Top 14;2005-2006;44;16;J4;
Top 14;2005-2006;64;12;J4;
Top 14;2005-2006;18;23;J4;
Top 14;2005-2006;64;22;J4;
Top 14;2005-2006;15;18;J5;
Top 14;2005-2006;34;10;J5;
Top 14;2005-2006;40;16;J5;
Top 14;2005-2006;40;16;J5;
Top 14;2005-2006;15;29;J5;
Top 14;2005-2006;34;25;J5;
Top 14;2005-2006;7;14;J5;
Top 14;2005-2006;30;22;J6;
Top 14;2005-2006;13;19;J6;
Top 14;2005-2006;47;21;J6;
Top 14;2005-2006;25;17;J6;
Top 14;2005-2006;40;21;J6;
Top 14;2005-2006;21;12;J6;
Top 14;2005-2006;37;24;J6;
Top 14;2005-2006;25;10;J7;
Top 14;2005-2006;19;14;J7;
Top 14;2005-2006;26;19;J7;
Top 14;2005-2006;27;3;J7;
Top 14;2005-2006;18;14;J7;
Top 14;2005-2006;9;0;J7;
Top 14;2005-2006;16;33;J7;
Top 14;2005-2006;23;12;J8;
Top 14;2005-2006;48;14;J8;
Top 14;2005-2006;36;13;J8;
Top 14;2005-2006;26;20;J8;
Top 14;2005-2006;33;6;J8;
Top 14;2005-2006;31;28;J8;
Top 14;2005-2006;15;33;J8;
Top 14;2005-2006;29;10;J9;
Top 14;2005-2006;40;14;J9;
Top 14;2005-2006;26;12;J9;
Top 14;2005-2006;41;8;J9;
Top 14;2005-2006;29;15;J9;
Top 14;2005-2006;12;10;J9;
Top 14;2005-2006;8;3;J9;
Top 14;2005-2006;29;24;J10;
Top 14;2005-2006;26;23;J10;
Top 14;2005-2006;10;9;J10;
Top 14;2005-2006;29;16;J10;
Top 14;2005-2006;29;16;J10;
Top 14;2005-2006;15;11;J10;
Top 14;2005-2006;37;19;J10;
Top 14;2005-2006;28;22;J11;
Top 14;2005-2006;41;10;J11;
Top 14;2005-2006;33;16;J11;
Top 14;2005-2006;21;16;J11;
Top 14;2005-2006;27;19;J11;
Top 14;2005-2006;33;0;J11;
Top 14;2005-2006;29;16;J11;
Top 14;2005-2006;22;11;J12;
Top 14;2005-2006;9;32;J12;
Top 14;2005-2006;18;21;J12;
Top 14;2005-2006;27;25;J12;
Top 14;2005-2006;11;34;J12;
Top 14;2005-2006;10;9;J12;
Top 14;2005-2006;12;25;J12;
Top 14;2005-2006;29;19;J13;
Top 14;2005-2006;66;8;J13;
Top 14;2005-2006;45;13;J13;
Top 14;2005-2006;59;10;J13;
Top 14;2005-2006;37;15;J13;
Top 14;2005-2006;24;6;J13;
Top 14;2005-2006;30;0;J13;
Top 14;2005-2006;36;24;J14;
Top 14;2005-2006;19;14;J14;
Top 14;2005-2006;27;13;J14;
Top 14;2005-2006;52;28;J14;
Top 14;2005-2006;13;19;J14;
Top 14;2005-2006;33;14;J14;
Top 14;2005-2006;57;12;J14;
Top 14;2005-2006;11;24;J15;
Top 14;2005-2006;13;27;J15;
Top 14;2005-2006;3;17;J15;
Top 14;2005-2006;3;17;J15;
Top 14;2005-2006;22;33;J15;
Top 14;2005-2006;41;10;J15;
Top 14;2005-2006;18;16;J15;
Top 14;2005-2006;17;9;J16;
Top 14;2005-2006;17;9;J16;
Top 14;2005-2006;30;9;J16;
Top 14;2005-2006;52;13;J16;
Top 14;2005-2006;23;16;J16;
Top 14;2005-2006;43;11;J16;
Top 14;2005-2006;17;11;J16;
Top 14;2005-2006;14;36;J17;
Top 14;2005-2006;8;15;J17;
Top 14;2005-2006;33;20;J17;
Top 14;2005-2006;27;19;J17;
Top 14;2005-2006;34;3;J17;
Top 14;2005-2006;21;18;J17;
Top 14;2005-2006;12;8;J17;
Top 14;2005-2006;15;20;J18;
Top 14;2005-2006;35;13;J18;
Top 14;2005-2006;19;26;J18;
Top 14;2005-2006;21;16;J18;
Top 14;2005-2006;53;0;J18;
Top 14;2005-2006;16;15;J18;
Top 14;2005-2006;44;14;J18;
Top 14;2005-2006;22;28;J19;
Top 14;2005-2006;42;3;J19;
Top 14;2005-2006;18;14;J19;
Top 14;2005-2006;27;15;J19;
Top 14;2005-2006;15;13;J19;
Top 14;2005-2006;13;15;J19;
Top 14;2005-2006;13;15;J19;
Top 14;2005-2006;19;7;J20;
Top 14;2005-2006;10;11;J20;
Top 14;2005-2006;6;16;J20;
Top 14;2005-2006;15;18;J20;
Top 14;2005-2006;43;16;J20;
Top 14;2005-2006;43;16;J20;
Top 14;2005-2006;28;24;J20;
Top 14;2005-2006;28;15;J21;
Top 14;2005-2006;24;20;J21;
Top 14;2005-2006;54;13;J21;
Top 14;2005-2006;16;20;J21;
Top 14;2005-2006;29;20;J21;
Top 14;2005-2006;23;18;J21;
Top 14;2005-2006;19;15;J21;
Top 14;2005-2006;36;22;J22;
Top 14;2005-2006;28;26;J22;
Top 14;2005-2006;17;25;J22;
Top 14;2005-2006;15;12;J22;
Top 14;2005-2006;15;0;J22;
Top 14;2005-2006;32;22;J22;
Top 14;2005-2006;65;0;J22;
Top 14;2005-2006;33;7;J23;
Top 14;2005-2006;24;44;J23;
Top 14;2005-2006;22;11;J23;
Top 14;2005-2006;53;7;J23;
Top 14;2005-2006;42;20;J23;
Top 14;2005-2006;29;14;J23;
Top 14;2005-2006;33;9;J23;
Top 14;2005-2006;23;24;J24;
Top 14;2005-2006;26;11;J24;
Top 14;2005-2006;26;20;J24;
Top 14;2005-2006;28;11;J24;
Top 14;2005-2006;44;19;J24;
Top 14;2005-2006;13;20;J24;
Top 14;2005-2006;25;13;J24;
Top 14;2005-2006;57;7;J25;
Top 14;2005-2006;30;23;J25;
Top 14;2005-2006;42;26;J25;
Top 14;2005-2006;22;10;J25;
Top 14;2005-2006;58;24;J25;
Top 14;2005-2006;37;27;J25;
Top 14;2005-2006;52;0;J25;
Top 14;2005-2006;12;37;J26;
Top 14;2005-2006;25;27;J26;
Top 14;2005-2006;24;43;J26;
Top 14;2005-2006;12;34;J26;
